,id,name
313,5.1.2_CIV.TOTA.AID.BADEA," International aid disbursed to total education, BADEA to Côte d'Ivoire (USD million)  "
314,5.1.2_CMR.TOTA.AID.WB,"International aid disbursed to total education, World Bank to Cameroun (USD million) "
315,5.1.2_DJI.TOTA.AID.FSD,"International aid disbursed to total education, FSD to Djibouti (USD million) "
316,5.1.2_ETH.TOTA.AID.BEL,"International aid disbursed to total education, Belgium (VLIR USO) to Ethiopia (USD million)"
317,5.1.2_GEO.TOTA.AID.UNICEF,"International aid disbursed to total education, UNICEF to Georgia (USD million)"
318,5.1.2_GHA.TOTA.AID.GPE,"International aid disbursed to total education, Global Partnership for Education to Djibouti (USD million)  "
319,5.1.2_GIN.TOTA.AID.ADPP.AFDB,"International aid disbursed to total education, AfDB to Guinea (USD million) "
320,5.1.2_GNB.TOTA.AID.ADPP.HUM,"International aid disbursed to total education, ADPP (Humana People to People) to Guinea Bissau (USD million) "
321,5.1.2_KGZ.TOTA.AID.ADPP.GIZ," International aid disbursed to total education, GIZ to Kyrgyzstan (USD million)  "
322,5.1.2_KHM.TOTA.AID.BEL," International aid disbursed to total education, Belgium to Cambodia (USD million)   "
323,5.1.2_LAO.TOTA.AID.AUS," International aid disbursed to total education, AusAID to Laos (USD million)  "
324,5.1.2_LBR.TOTA.AID.USAID," International aid disbursed to total education, USAID to Liberia (USD million)  "
325,5.1.2_MDA.TOTA.AID.WB," International aid disbursed to total education, World Bank to Moldova (USD million)  "
326,5.1.2_MDG.TOTA.AID.ILO, International aid to total education executed by ILO in Madagascar (USD million)  
327,5.1.2_MOZ.TOTA.AID.DANIDA," International aid disbursed to total education, DANIDA to Mozambique (USD million) "
328,5.1.2_MRT.TOTA.AID.ISDB,"International aid disbursed to total education, IsDB to Mauritania (USD million) "
329,5.1.2_MWI.TOTA.AID.CIDA,"International aid disbursed to total education, CIDA to Malawi (USD million) "
330,5.1.2_NER.TOTA.AID.BEL,"International aid disbursed to total  education, Belgium to Niger (USD million) "
331,5.1.2_RWA.TOTA.AID.GPE," International aid disbursed to total education, Global Partnership for Education to Rwanda (USD million)  "
332,5.1.2_SEN.TOTA.AID.FR," International aid disbursed to total education, AFD and French Embassy to Senegal (USD million)  "
333,5.1.2_SLE.TOTA.AID.EC," International aid disbursed to total education, European Commission to Sierra Leone (USD million)  "
334,5.1.2_TJK.TOTA.AID.AGAK," International aid disbursed to total education, Aga Khan to Tajikistan (USD million) "
335,5.1.2_VNM.TOTA.AID.CIDA,"International aid disbursed to total education, CIDA to Vietnam (USD million)"
336,5.1.2_ZMB.TOTA.AID.IRL,"International aid disbursed to total education, Ireland to Zambia (USD million) "
